ticker,previewLoc,eval,closePrice,change,pctChange,vol,mktCap,volatility365,RSI
TSLA,images/TSLA90.png,-2.0,838.2999877929688,-20.66998291015625,-2.4063685128871817,19549548,866391433796.7109,3.3377289713626017,45.12991279151067
MSFT,images/MSFT90.png,-4.0,285.5899963378906,-2.910003662109375,-1.0086667806271663,30628012,2141031043859.5625,1.458404861692682,46.70342919461958
AAPL,images/AAPL90.png,-4.0,158.52000427246094,-4.42999267578125,-2.7186209013482516,96831210,2586951347578.7188,1.505718397820081,36.43977786059607
GOOG,images/GOOG90.png,0.0,2653.639892578125,-23.68017578125,-0.8844730990927389,1213260,837592263282.5859,1.5414836069103395,50.61820089134721
AMZN,images/AMZN90.png,-2.0,2936.35009765625,150.77001953125,5.412517870702705,6753145,1494144129091.7969,1.9233271740449334,42.03517541170967
NVDA,images/NVDA90.png,-4.0,226.5800018310547,-3.55999755859375,-1.5468834483510807,42806565,564637364562.9883,2.985385288108932,41.323320054630905
FB,images/FB90.png,-2.0,195.2100067138672,-3.2899932861328125,-1.6574273481777393,24852975,450755534796.2969,2.769553891469624,40.936773818959395
JPM,images/JPM90.png,-4.0,131.86000061035156,-1.5800018310546875,-1.1840541083236784,15596270,389357526292.4922,1.4827596285373843,27.644516615066152
CSCO,images/CSCO90.png,-2.0,54.709999084472656,-1.2099990844726562,-2.1638038699804873,18550934,227274643024.26367,1.2923969398644397,46.24645377664513
AZN,images/AZN90.png,2.0,60.900001525878906,0.470001220703125,0.7777614071315333,6345255,188721796728.51562,1.5457773396719066,49.75715018891292
